Years;x=0;x=65
1947;21,27625791;6,466514526
1948;19,81752199;7,037171131
1949;19,39927169;6,939961959
1950;18,21809342;6,724815818
1951;17,58925188;6,864948181
1952;16,63741028;6,947040725
1953;15,9708108;6,604014458
1954;16,02339904;6,93249056
1955;15,42640828;6,989416308
1956;15,07390838;6,72371369
1957;14,74900008;6,564367005
1958;14,69094446;6,917952407
1959;14,41738561;6,865571769
1960;13,95972938;6,716540936
1961;13,72400776;6,719001533
1962;13,21904425;6,575628988
1963;13,18208639;6,87120513
1964;12,92903593;6,867279081
1965;12,53508628;6,684564755
1966;12,56860076;6,924991504
1967;12,42678066;6,90665487
1968;12,21420146;6,849074348
1969;12,20621756;6,937455502
1970;12,12154626;6,939659114
1971;12,07131961;7,03707681
1972;12,02378004;7,072745649
1973;11,8076984;6,971090156
1974;11,61705703;6,985931898
1975;11,5288243;7,046838912
1976;11,3789605;7,025799468
1977;11,42338914;7,180451345
1978;11,34664968;7,191483555
1979;11,34161677;7,29260577
1980;11,14554263;7,165352647
1981;11,13085891;7,228025857
1982;11,19934637;7,364721664
1983;11,13391975;7,270618642
1984;11,1218395;7,331582101
1985;10,99985733;7,328158653
1986;11,01602842;7,395308935
1987;10,974127;7,434611784
1988;10,81487404;7,323830035
1989;10,84635145;7,437219634
1990;10,77931902;7,373482192
1991;10,78359812;7,444785647
1992;10,81990001;7,463670813
1993;10,78544088;7,495924633
1994;10,81292071;7,552396937
1995;10,7479711;7,481505317
1996;10,81776153;7,671550004
1997;10,74396814;7,667098059
1998;10,90332113;7,727030214
1999;10,78704692;7,640983643
2000;10,84013271;7,769270413
2001;10,81340401;7,795890883
2002;10,78098921;7,815588488
2003;10,75851126;7,770291074
2004;10,74108155;7,806924234
2005;10,62731889;7,682332448
2006;10,60268318;7,736700142
2007;10,5499404;7,741825579
2008;10,4584762;7,685317531
2009;10,47320291;7,711630689
2010;10,35219196;7,625316999
2011;10,40620224;7,624228594
2012;10,16452866;7,591297986
2013;10,15268886;7,634102479
2014;10,13760528;7,677411207
